Week,Pageviews
09/01/2013,"33,347"
09/08/2013,"40,851"
09/15/2013,"41,537"
09/22/2013,"51,668"
09/29/2013,"48,304"
10/06/2013,"53,835"
10/13/2013,"48,844"
10/20/2013,"56,615"
10/27/2013,"45,520"
11/03/2013,"51,245"
11/10/2013,"54,801"
11/17/2013,"61,689"
11/24/2013,"56,991"
12/01/2013,"56,757"
12/08/2013,"53,048"
12/15/2013,"49,997"
12/22/2013,"39,487"
12/29/2013,"74,926"
01/05/2014,"62,434"
01/12/2014,"79,286"
01/19/2014,"73,905"
01/26/2014,"72,700"
02/02/2014,"69,043"
02/09/2014,"83,978"
02/16/2014,"86,797"
02/23/2014,"94,530"
03/02/2014,"78,882"
03/09/2014,"80,420"
03/16/2014,"84,332"
03/23/2014,"92,042"
03/30/2014,"80,928"
04/06/2014,"84,342"
04/13/2014,"82,757"
04/20/2014,"80,568"
04/27/2014,"76,100"
05/04/2014,"73,920"
05/11/2014,"73,245"
05/18/2014,"70,248"
05/25/2014,"69,680"
06/01/2014,"74,515"
06/08/2014,"68,896"
06/15/2014,"78,911"
06/22/2014,"82,140"
06/29/2014,"82,848"
07/06/2014,"74,473"
07/13/2014,"82,163"
07/20/2014,"89,399"
07/27/2014,"96,577"
08/03/2014,"95,039"
08/10/2014,"76,573"
08/17/2014,"72,452"
08/24/2014,"81,902"
08/31/2014,"77,263"
09/07/2014,"88,617"
09/14/2014,"89,477"
09/21/2014,"98,127"